Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,TE1,Brock Bowers,LV,TE,13,1,1,1,0.00
2,TE2,Trey McBride,ARI,TE,14,1,2,2,0.00
3,TE3,Colston Loveland,CHI,TE,10,1,3,3,0.00
4,TE4,Tyler Warren,IND,TE,13,2,4,4,0.00
5,TE5,Kyle Pitts Sr.,ATL,TE,11,2,5,5,0.00
6,TE6,Sam LaPorta,DET,TE,6,2,6,6,0.00
7,TE7,Harold Fannin Jr.,CLE,TE,11,2,7,7,0.00
8,TE8,Tucker Kraft,GB,TE,11,2,8,8,0.00
9,TE9,George Kittle,SF,TE,8,3,9,9,0.00
10,TE10,Dallas Goedert,PHI,TE,10,3,10,10,0.00
11,TE11,Dalton Kincaid,BUF,TE,7,3,11,11,0.00
12,TE12,Juwan Johnson,NO,TE,8,3,12,12,0.00
13,TE13,Travis Kelce,KC,TE,5,3,13,13,0.00
14,TE14,Jake Ferguson,DAL,TE,14,3,14,14,0.00
15,TE15,Isaiah Likely,NYG,TE,8,4,15,15,0.00
16,TE16,Brenton Strange,JAC,TE,7,4,16,16,0.00
17,TE17,Hunter Henry,NE,TE,11,4,17,17,0.00
18,TE18,Mark Andrews,BAL,TE,13,4,18,18,0.00
19,TE19,Dalton Schultz,HOU,TE,8,4,19,19,0.00
20,TE20,Chig Okonkwo,WAS,TE,7,4,20,20,0.00
21,TE21,T.J. Hockenson,MIN,TE,6,4,21,21,0.00
22,TE22,AJ Barner,SEA,TE,11,4,22,22,0.00
23,TE23,Cade Otton,TB,TE,10,5,23,23,0.00
24,TE24,Terrance Ferguson,LAR,TE,11,5,24,24,0.00
25,TE25,Pat Freiermuth,PIT,TE,9,5,25,25,0.00
26,TE26,Darnell Washington,PIT,TE,9,5,26,26,0.00
27,TE27,Gunnar Helm,TEN,TE,9,5,27,27,0.00
28,TE28,Evan Engram,DEN,TE,10,5,28,28,0.00
29,TE29,Greg Dulcich,MIA,TE,6,5,29,29,0.00
30,TE30,Colby Parkinson,LAR,TE,11,5,30,30,0.00
31,TE31,Kenyon Sadiq,NYJ,TE,13,5,31,31,0.00
32,TE32,David Njoku,LAC,TE,7,5,32,32,0.00
33,TE33,Oronde Gadsden II,LAC,TE,7,5,33,33,0.00
34,TE34,Michael Mayer,LV,TE,13,6,34,34,0.00
35,TE35,Charlie Kolar,LAC,TE,7,6,35,35,0.00
36,TE36,Oscar Delp,NO,TE,8,6,36,36,0.00
37,TE37,Mason Taylor,NYJ,TE,13,6,37,37,0.00
38,TE38,Theo Johnson,NYG,TE,8,6,38,38,0.00
39,TE39,Mike Gesicki,CIN,TE,6,6,39,39,0.00
40,TE40,Tyler Higbee,LAR,TE,11,6,40,40,0.00
41,TE41,Jake Tonges,SF,TE,8,6,41,41,0.00
42,TE42,Darren Waller,CAR,TE,5,6,42,42,0.00
43,TE43,Cole Kmet,CHI,TE,10,6,43,43,0.00
44,TE44,Eli Raridon,NE,TE,11,6,44,44,0.00
45,TE45,Erick All Jr.,CIN,TE,6,6,45,45,0.00
46,TE46,Eli Stowers,PHI,TE,10,6,46,46,0.00
