Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,RB1,Jahmyr Gibbs,DET,RB,6,1,1,1,0.00
2,WR1,Ja'Marr Chase,CIN,WR,6,1,2,2,0.00
3,RB2,Bijan Robinson,ATL,RB,11,1,3,3,0.00
4,WR2,Puka Nacua,LAR,WR,11,1,4,4,0.00
5,RB3,Jonathan Taylor,IND,RB,13,2,5,5,0.00
6,WR3,Jaxon Smith-Njigba,SEA,WR,11,2,6,6,0.00
7,WR4,Amon-Ra St. Brown,DET,WR,6,2,7,7,0.00
8,RB4,Christian McCaffrey,SF,RB,8,2,8,8,0.00
9,WR5,Justin Jefferson,MIN,WR,6,2,9,9,0.00
10,WR6,A.J. Brown,NE,WR,11,3,10,10,0.00
11,WR7,Nico Collins,HOU,WR,8,3,11,11,0.00
12,RB5,Derrick Henry,BAL,RB,13,3,12,12,0.00
13,RB6,James Cook III,BUF,RB,7,3,13,13,0.00
14,WR8,CeeDee Lamb,DAL,WR,14,3,14,14,0.00
15,RB7,Saquon Barkley,PHI,RB,10,3,15,15,0.00
16,TE1,Colston Loveland,CHI,TE,10,3,16,16,0.00
17,RB8,Kenneth Walker III,KC,RB,5,4,17,17,0.00
18,WR9,Drake London,ATL,WR,11,4,18,18,0.00
19,WR10,George Pickens,DAL,WR,14,4,19,19,0.00
20,RB9,Omarion Hampton,LAC,RB,7,4,20,20,0.00
21,WR11,Malik Nabers,NYG,WR,8,4,21,21,0.00
22,TE2,Trey McBride,ARI,TE,14,4,22,22,0.00
23,RB10,Kyren Williams,LAR,RB,11,4,23,23,0.00
24,WR12,Chris Olave,NO,WR,8,4,24,24,0.00
25,QB1,Josh Allen,BUF,QB,7,4,25,25,0.00
26,WR13,DeVonta Smith,PHI,WR,10,4,26,26,0.00
27,QB2,Drake Maye,NE,QB,11,5,27,27,0.00
28,RB11,Chase Brown,CIN,RB,6,5,28,28,0.00
29,QB3,Joe Burrow,CIN,QB,6,5,29,29,0.00
30,RB12,Ashton Jeanty,LV,RB,13,5,30,30,0.00
31,WR14,Zay Flowers,BAL,WR,13,5,31,31,0.00
32,WR15,Tee Higgins,CIN,WR,6,5,32,32,0.00
33,RB13,Javonte Williams,DAL,RB,14,5,33,33,0.00
34,TE3,Brock Bowers,LV,TE,13,5,34,34,0.00
35,WR16,Emeka Egbuka,TB,WR,10,5,35,35,0.00
36,QB4,Lamar Jackson,BAL,QB,13,5,36,36,0.00
37,RB14,De'Von Achane,MIA,RB,6,5,37,37,0.00
38,WR17,Rashee Rice,KC,WR,5,5,38,38,0.00
39,WR18,Davante Adams,LAR,WR,11,6,39,39,0.00
40,RB15,Jeremiyah Love,ARI,RB,14,6,40,40,0.00
41,WR19,Jameson Williams,DET,WR,6,6,41,41,0.00
42,RB16,Breece Hall,NYJ,RB,13,6,42,42,0.00
43,WR20,Jaylen Waddle,DEN,WR,10,6,43,43,0.00
44,WR21,Ladd McConkey,LAC,WR,7,6,44,44,0.00
45,RB17,Bucky Irving,TB,RB,10,6,45,45,0.00
46,WR22,Garrett Wilson,NYJ,WR,13,6,46,46,0.00
47,RB18,Travis Etienne Jr.,NO,RB,8,6,47,47,0.00
48,WR23,Tetairoa McMillan,CAR,WR,5,6,48,48,0.00
49,RB19,Cam Skattebo,NYG,RB,8,6,49,49,0.00
50,WR24,Christian Watson,GB,WR,11,6,50,50,0.00
51,WR25,Terry McLaurin,WAS,WR,7,6,51,51,0.00
52,RB20,Quinshon Judkins,CLE,RB,11,6,52,52,0.00
53,QB5,Jayden Daniels,WAS,QB,7,6,53,53,0.00
54,WR26,Rome Odunze,CHI,WR,10,7,54,54,0.00
55,RB21,Rhamondre Stevenson,NE,RB,11,7,55,55,0.00
56,TE4,Tucker Kraft,GB,TE,11,7,56,56,0.00
