Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,WR1,Ja'Marr Chase,CIN,WR,6,1,1,1,0.00
2,WR2,Puka Nacua,LAR,WR,11,1,2,2,0.00
3,WR3,Amon-Ra St. Brown,DET,WR,6,1,3,3,0.00
4,WR4,Jaxon Smith-Njigba,SEA,WR,11,1,4,4,0.00
5,WR5,Justin Jefferson,MIN,WR,6,2,5,5,0.00
6,WR6,Drake London,ATL,WR,11,2,6,6,0.00
7,WR7,CeeDee Lamb,DAL,WR,14,2,7,7,0.00
8,WR8,A.J. Brown,NE,WR,11,2,8,8,0.00
9,WR9,Nico Collins,HOU,WR,8,2,9,9,0.00
10,WR10,Chris Olave,NO,WR,8,3,10,10,0.00
11,WR11,DeVonta Smith,PHI,WR,10,3,11,11,0.00
12,WR12,George Pickens,DAL,WR,14,3,12,12,0.00
13,WR13,Zay Flowers,BAL,WR,13,3,13,13,0.00
14,WR14,Malik Nabers,NYG,WR,8,3,14,14,0.00
15,WR15,Rashee Rice,KC,WR,5,3,15,15,0.00
16,WR16,Garrett Wilson,NYJ,WR,13,3,16,16,0.00
17,WR17,Jaylen Waddle,DEN,WR,10,3,17,17,0.00
18,WR18,Ladd McConkey,LAC,WR,7,4,18,18,0.00
19,WR19,Tee Higgins,CIN,WR,6,4,19,19,0.00
20,WR20,Emeka Egbuka,TB,WR,10,4,20,20,0.00
21,WR21,Tetairoa McMillan,CAR,WR,5,4,21,21,0.00
22,WR22,Davante Adams,LAR,WR,11,4,22,22,0.00
23,WR23,Jameson Williams,DET,WR,6,4,23,23,0.00
24,WR24,Luther Burden III,CHI,WR,10,4,24,24,0.00
25,WR25,Terry McLaurin,WAS,WR,7,4,25,25,0.00
26,WR26,Christian Watson,GB,WR,11,4,26,26,0.00
27,WR27,Carnell Tate,TEN,WR,9,4,27,27,0.00
28,WR28,Mike Evans,SF,WR,8,5,28,28,0.00
29,WR29,DJ Moore,BUF,WR,7,5,29,29,0.00
30,WR30,Parker Washington,JAC,WR,7,5,30,30,0.00
31,WR31,Marvin Harrison Jr.,ARI,WR,14,5,31,31,0.00
32,WR32,Rome Odunze,CHI,WR,10,5,32,32,0.00
33,WR33,DK Metcalf,PIT,WR,9,5,33,33,0.00
34,WR34,Michael Pittman Jr.,PIT,WR,9,5,34,34,0.00
35,WR35,Quentin Johnston,LAC,WR,7,5,35,35,0.00
